TITLE,DATE
"PEACEFUL HAVEN",10-14-1987
"MOUNTAIN EXHIBITION",10-21-1987
"EMERALD WATERS",10-28-1987
"MOUNTAIN SUMMIT",11-4-1987
"CABIN HIDEAWAY",11-11-1987
"OVAL ESSENCE",11-18-1987
"LOST LAKE",11-25-1987
"DISTANT MOUNTAINS",12-30-1987
"MEADOW BROOK SURPRISE",01-6-1988
"MOUNTAIN MOONLIGHT OVAL",01-13-1988
"SNOWY SOLITUDE",01-20-1988
"MOUNTAIN RIVER",01-27-1988
"GRACEFUL MOUNTAINS",02-3-1988
"WINDY WAVES",02-10-1988
"ON A CLEAR DAY",02-17-1988
"RIVERSIDE ESCAPE OVAL",02-24-1988
"SURPRISING FALLS",03-2-1988
"SHADOW POND",03-9-1988
"MISTY FOREST",03-16-1988
"NATURAL WONDER",03-23-1988
"SPLENDOR OF WINTER",04-27-1988
"COLORS OF NATURE",05-4-1988
"GRANDPA'S BARN",05-11-1988
"PEACEFUL REFLECTIONS",05-18-1988
"HIDDEN WINTER MOON OVAL",05-25-1988
"WAVES OF WONDER",06-1-1988
"CABIN BY THE POND",06-8-1988
"FALL STREAM",06-15-1988
"CHRISTMAS EVE SNOW",06-22-1988
"FOREST DAWN OVAL",06-29-1988
"PATHWAY TO AUTUMN",07-6-1988
"DEEP FOREST LAKE",07-13-1988
"PEAKS OF MAJESTY",07-20-1988
"TWO SEASONS",08-17-1988
"NESTLED CABIN",08-24-1988
"WINTERTIME DISCOVERY",08-31-1988
"MOUNTAIN MIRAGE",09-7-1988
"DOUBLE OVAL FANTASY",09-14-1988
"CONTEMPLATIVE LADY",09-21-1988
"DEEP WOODS",09-28-1988
"HIGH TIDE",10-5-1988
"BARN IN SNOW OVAL",10-12-1988
"THAT TIME OF YEAR",10-19-1988
"WATERFALL WONDER",10-26-1988
"MIGHTY MOUNTAIN LAKE",11-2-1988
"WOODED STREAM OVAL",11-9-1988
"GOLDEN MIST OVAL",01-4-1989
"OLD PLACE HOME",01-11-1989
"SOOTHING VISTA",01-18-1989
"STORMY SEAS",01-25-1989
"COUNTRY TIME",02-1-1989
"A MILD WINTER'S DAY",02-8-1989
"SPECTACULAR WATERFALL",02-15-1989
"VIEW FROM THE PARK",02-22-1989
"LAKE VIEW",03-1-1989
"OLD COUNTRY MILL",03-8-1989
"MORNING WALK",03-15-1989
"NATURE'S SPLENDOR",03-22-1989
"MOUNTAIN BEAUTY",03-29-1989
"HALF OVAL VIGNETTE",07-5-1989
"ABSOLUTELY AUTUMN",07-12-1989
"MOUNTAIN SECLUSION",07-19-1989
"CRIMSON OVAL",07-26-1989
"AUTUMN EXHIBITION",08-2-1989
"MAJESTIC PEAKS",08-9-1989
"GOLDEN MORNING MIST",08-16-1989
"WINTER LACE",08-23-1989
"SEASCAPE FANTASY",08-30-1989
"DOUBLE OVAL STREAM",09-6-1989
"ENCHANTED FOREST",09-13-1989
"SOUTHWEST SERENITY",09-20-1989
"RIPPLING WATERS",09-27-1989
"SNOWFALL MAGIC",01-3-1990
"QUIET MOUNTAIN LAKE",01-10-1990
"FINAL EMBERS OF SUNLIGHT",01-17-1990
"SNOWY MORN",01-24-1990
"CAMPER'S HAVEN",01-31-1990
"WATERFALL IN THE WOODS",02-7-1990
"COVERED BRIDGE OVAL",02-14-1990
"SCENIC SECLUSION",02-21-1990
"EBB TIDE",02-28-1990
"AFTER THE RAIN",03-7-1990
"WINTER ELEGANCE",03-14-1990
"EVENING'S PEACE",03-21-1990
"VALLEY OF TRANQUILITY",03-28-1990
"MYSTIC MOUNTAIN",04-4-1990
"NEW DAY'S DAWN",04-11-1990
"PASTEL WINTER",04-18-1990
"HAZY DAY",04-25-1990
"DIVINE ELEGANCE",05-2-1990
"CLIFFSIDE",05-9-1990
"AUTUMN FANTASY",05-16-1990
"OLD OAK TREE",05-23-1990
"WINTER PARADISE",05-30-1990
"DAYS GONE BY",06-6-1990
"CHANGE OF SEASONS",06-13-1990
"HIDDEN DELIGHT",06-20-1990
"DOUBLE TAKE",06-27-1990
"VALLEY VIEW",09-5-1990
"TRANQUIL DAWN",09-12-1990
"ROYAL MAJESTY",09-19-1990
"SERENITY",09-26-1990
"CABIN AT TRIAL'S END",10-3-1990
"MOUNTAIN RHAPSODY",10-10-1990
"WILDERNESS CABIN",10-17-1990
"BY THE SEA",10-24-1990
"INDIAN SUMMER",10-31-1990
"BLUE WINTER",11-7-1990
"DESERT GLOW",11-14-1990
"LONE MOUNTAIN",11-21-1990
"FLORIDA'S GLORY",11-28-1990
"AUTUMN IMAGES",01-1-1991
"HINT OF SPRINGTIME",01-8-1991
"AROUND THE BEND",01-15-1991
"COUNTRYSIDE OVAL",01-22-1991
"RUSSET WINTER",01-29-1991
"PURPLE HAZE",02-5-1991
"DIMENSIONS",02-12-1991
"DEEP WILDERNESS HOME",02-19-1991
"HAVEN IN THE VALLEY",02-26-1991
"WINTERTIME BLUES",03-5-1991
"PASTEL SEASCAPE",03-12-1991
"COUNTRY CREEK",03-19-1991
"SILENT FOREST",03-26-1991
"FROSTY WINTER MORN",09-3-1991
"FOREST EDGE",09-10-1991
"MOUNTAIN RIDGE LAKE",09-17-1991
"REFLECTIONS OF GOLD",09-24-1991
"QUIET COVE",10-1-1991
"RIVER'S PEACE",10-8-1991
"AT DAWN'S LIGHT",10-15-1991
"VALLEY WATERFALL",10-22-1991
"TOWARD DAY'S END",10-29-1991
"FALLS IN THE GLEN",11-5-1991
"FROZEN BEAUTY IN VIGNETTE",11-12-1991
"CRIMSON TIDE",11-19-1991
"WINTER BLISS",11-26-1991
"GREY MOUNTAIN",01-7-1992
"WAYSIDE POND",01-14-1992
"TETON WINTER",01-21-1992
"LITTLE HOME IN THE MEADOW",01-28-1992
"PRETTY AUTUMN DAY",02-4-1992
"MIRRORED IMAGES",02-11-1992
"BACK-COUNTRY PATH",02-18-1992
